location,total_vaccinations,people_vaccinated,total_boosters,population,continent,latitude,longitude,total_cases,total_deaths,new_cases,new_deaths
Oman,6878593.0,3220696.0,32412.0,5223376.0,Asia,21.512583,55.923255,129235887.0,1532677.0,385769.0,4249.0
Pakistan,219368557.0,128074138.0,4869245.0,225199929.0,Asia,30.375321,69.345116,511524684.0,11147832.0,1516789.0,30291.0
Panama,7737902.0,3386244.0,1384727.0,4381583.0,North America,8.537981,-80.782127,216182993.0,3356549.0,758613.0,8125.0
Papua New Guinea,560915.0,310659.0,,9119005.0,Oceania,-6.314993,143.95555,8536871.0,114071.0,41549.0,639.0
Paraguay,8218163.0,3828122.0,1156981.0,7219641.0,South America,-23.442503,-58.443832,173806560.0,5265259.0,645020.0,18510.0
Peru,63384360.0,27947392.0,10648156.0,33359415.0,South America,-9.189967,-75.015152,1036150572.0,92042497.0,3528939.0,211961.0
Philippines,141959452.0,56110301.0,10137875.0,111046910.0,Asia,12.879721,121.774017,866407793.0,14553457.0,3669294.0,57184.0
Poland,53651153.0,22556096.0,11518385.0,37797000.0,Europe,51.919438,19.145136,1386005265.0,33023582.0,5774938.0,113002.0
Portugal,22923599.0,9663542.0,6213268.0,10167923.0,Europe,39.399872,-8.224454,541810315.0,8052355.0,3367630.0,21267.0
Qatar,6476114.0,2360308.0,1341796.0,2930524.0,Asia,25.354826,51.183884,125431054.0,264437.0,358694.0,672.0
Romania,16717558.0,8147081.0,,19127772.0,Europe,45.943161,24.96676,618596692.0,17664494.0,2781086.0,64156.0
Russia,161480902.0,78864152.0,12545615.0,145912022.0,Europe,61.52401,105.318756,3391148191.0,83363601.0,16893631.0,351124.0
Rwanda,18038703.0,8811796.0,2014504.0,13276517.0,Africa,-1.940278,29.873888,29594442.0,361523.0,129569.0,1459.0
Saint Helena,7892.0,4361.0,,6095.0,Africa,-24.143474,-10.030696,2018.0,0.0,4.0,0.0
Saint Kitts and Nevis,60467.0,31162.0,3011.0,53546.0,North America,17.357822,-62.782998,696887.0,5120.0,5537.0,42.0
Saint Lucia,116893.0,57888.0,6736.0,184401.0,North America,13.909444,-60.978893,3872405.0,66473.0,22811.0,364.0
Saint Vincent and the Grenadines,69126.0,35873.0,3379.0,111269.0,North America,12.984305,-61.287228,1512751.0,15179.0,9865.0,106.0
Samoa,276278.0,145989.0,,200144.0,Oceania,-13.759029,-172.104629,2716.0,0.0,41.0,0.0
San Marino,64480.0,24583.0,13152.0,34010.0,Europe,43.94236,12.457777,2896763.0,50698.0,14629.0,112.0
Saudi Arabia,59661843.0,25792668.0,9904609.0,35340680.0,Asia,23.885942,45.079162,283571737.0,4291073.0,748121.0,9013.0
Senegal,2488671.0,1452996.0,,17196308.0,Africa,14.497401,-14.452362,27676732.0,671764.0,85775.0,1962.0
Serbia,8488708.0,3345631.0,1872225.0,6871547.0,Europe,44.016521,21.005859,411212264.0,3794172.0,1932814.0,15515.0
Seychelles,198120.0,84141.0,27744.0,98910.0,Africa,-4.679574,55.491977,7307559.0,33791.0,39610.0,163.0
Sierra Leone,1859571.0,1516460.0,,8141343.0,Africa,8.460555,-11.779889,2840623.0,60446.0,7666.0,125.0
Singapore,13651279.0,4994166.0,3723755.0,5453600.0,Asia,1.352083,103.819836,81051476.0,127790.0,885593.0,1110.0
Slovakia,7040750.0,2818371.0,1629457.0,5449270.0,Europe,48.669026,19.699024,410678078.0,5339160.0,2231352.0,18786.0
Slovenia,2968873.0,1264207.0,632541.0,2078723.0,Europe,46.151241,14.995463,151937832.0,2108984.0,909863.0,6382.0
Solomon Islands,315286.0,214939.0,,703995.0,Oceania,-9.64571,160.156194,216872.0,2728.0,8494.0,118.0
Somalia,1838348.0,1479158.0,,16359500.0,Africa,5.152149,46.199616,8016383.0,400961.0,26400.0,1360.0
